date,location,commodity,unit,price
2006-06-15,Dhaka,Wheat flour,KG,21.33
2006-06-15,Dhaka,Lentils (masur),KG,52.0
2006-06-15,Khulna,Rice (coarse),KG,16.0
2006-06-15,Khulna,Wheat flour,KG,20.5
2006-06-15,Khulna,Lentils (masur),KG,52.0
2006-07-15,Chittagong,Rice (coarse),KG,17.0
2006-07-15,Chittagong,Wheat flour,KG,22.0
2006-07-15,Chittagong,Lentils (masur),KG,48.5
2006-07-15,Dhaka,Wheat flour,KG,21.4
2006-07-15,Dhaka,Oil (palm),L,40.0
2006-07-15,Dhaka,Lentils (masur),KG,54.0
2006-07-15,Khulna,Rice (coarse),KG,16.0
2006-07-15,Khulna,Wheat flour,KG,21.0
2006-07-15,Rajshahi,Rice (coarse),KG,17.0
2006-07-15,Rajshahi,Wheat flour,KG,20.0
2006-07-15,Rajshahi,Oil (palm),L,44.0
2006-07-15,Rajshahi,Lentils (masur),KG,52.0
2006-08-15,Barisal,Rice (coarse),KG,17.0
2006-08-15,Barisal,Lentils (masur),KG,54.0
2006-08-15,Chittagong,Rice (coarse),KG,17.0
2006-08-15,Chittagong,Wheat flour,KG,22.0
2006-08-15,Chittagong,Lentils (masur),KG,47.0
2006-08-15,Dhaka,Rice (coarse),KG,16.67
2006-08-15,Dhaka,Wheat flour,KG,21.4
2006-08-15,Dhaka,Oil (palm),L,49.0
2006-08-15,Dhaka,Lentils (masur),KG,55.0
2006-08-15,Khulna,Rice (coarse),KG,16.0
2006-08-15,Rajshahi,Rice (coarse),KG,16.73
2006-08-15,Rajshahi,Wheat flour,KG,20.36
2006-08-15,Rajshahi,Oil (palm),L,47.0
2006-09-15,Barisal,Rice (coarse),KG,17.0
2006-09-15,Barisal,Lentils (masur),KG,54.0
2006-09-15,Chittagong,Wheat flour,KG,21.5
2006-09-15,Chittagong,Oil (palm),L,47.0
2006-09-15,Chittagong,Lentils (masur),KG,48.0
2006-09-15,Dhaka,Wheat flour,KG,21.6
2006-09-15,Dhaka,Oil (palm),L,47.0
2006-09-15,Khulna,Rice (coarse),KG,16.0
2006-09-15,Khulna,Wheat flour,KG,22.0
2006-09-15,Khulna,Lentils (masur),KG,58.0
2006-09-15,Rajshahi,Wheat flour,KG,21.17
2006-09-15,Rajshahi,Oil (palm),L,47.5
2006-10-15,Barisal,Rice (coarse),KG,18.0
2006-10-15,Chittagong,Rice (coarse),KG,17.0
2006-10-15,Chittagong,Wheat flour,KG,21.67
2006-10-15,Dhaka,Wheat flour,KG,22.2
2006-10-15,Dhaka,Oil (palm),L,45.0
2006-10-15,Khulna,Rice (coarse),KG,17.0
2006-10-15,Khulna,Wheat flour,KG,22.5
2006-10-15,Khulna,Lentils (masur),KG,47.0
2006-10-15,Rajshahi,Wheat flour,KG,21.62
2006-10-15,Rajshahi,Oil (palm),L,47.0
2006-10-15,Rajshahi,Lentils (masur),KG,52.67
2006-11-15,Chittagong,Rice (coarse),KG,17.5
2006-11-15,Chittagong,Wheat flour,KG,23.67
2006-11-15,Chittagong,Lentils (masur),KG,47.0
2006-11-15,Dhaka,Rice (coarse),KG,17.5
2006-11-15,Dhaka,Wheat flour,KG,24.2
2006-11-15,Dhaka,Oil (palm),L,48.0
2006-11-15,Dhaka,Lentils (masur),KG,54.33
2006-11-15,Khulna,Rice (coarse),KG,17.0
2006-11-15,Khulna,Wheat flour,KG,24.5
2006-11-15,Khulna,Lentils (masur),KG,54.0
2006-11-15,Rajshahi,Rice (coarse),KG,16.92
2006-11-15,Rajshahi,Wheat flour,KG,23.45
2006-11-15,Rajshahi,Lentils (masur),KG,52.36
2006-12-15,Barisal,Rice (coarse),KG,18.0
2006-12-15,Barisal,Wheat flour,KG,23.0
2006-12-15,Chittagong,Wheat flour,KG,26.0
2006-12-15,Chittagong,Lentils (masur),KG,53.0
2006-12-15,Dhaka,Wheat flour,KG,26.0
2006-12-15,Dhaka,Oil (palm),L,50.0
2006-12-15,Khulna,Wheat flour,KG,25.5
2006-12-15,Rajshahi,Rice (coarse),KG,17.1
2006-12-15,Rajshahi,Wheat flour,KG,24.91
2006-12-15,Rajshahi,Lentils (masur),KG,53.91
2007-01-15,Barisal,Rice (coarse),KG,18.0
2007-01-15,Barisal,Wheat flour,KG,25.5
2007-01-15,Chittagong,Wheat flour,KG,26.33
2007-01-15,Chittagong,Lentils (masur),KG,53.0
2007-01-15,Dhaka,Rice (coarse),KG,17.8
2007-01-15,Dhaka,Wheat flour,KG,26.0
2007-01-15,Dhaka,Oil (palm),L,51.0
2007-01-15,Dhaka,Lentils (masur),KG,54.67
2007-01-15,Khulna,Lentils (masur),KG,50.5
2007-01-15,Rajshahi,Oil (palm),L,54.0
2007-01-15,Rajshahi,Lentils (masur),KG,53.17
2007-01-15,Sylhet,Rice (coarse),KG,18.0
2007-01-15,Sylhet,Wheat flour,KG,27.0
2007-02-15,Barisal,Rice (coarse),KG,19.0
2007-02-15,Barisal,Wheat flour,KG,25.5
2007-02-15,Barisal,Lentils (masur),KG,53.0
2007-02-15,Chittagong,Rice (coarse),KG,18.5
2007-02-15,Chittagong,Wheat flour,KG,26.33
2007-02-15,Chittagong,Lentils (masur),KG,53.0
2007-02-15,Dhaka,Wheat flour,KG,26.2
2007-02-15,Dhaka,Lentils (masur),KG,53.33
2007-02-15,Khulna,Rice (coarse),KG,32.25
2007-02-15,Khulna,Wheat flour,KG,25.5
2007-02-15,Rajshahi,Rice (coarse),KG,17.73
2007-02-15,Rajshahi,Wheat flour,KG,25.62
2007-02-15,Rajshahi,Lentils (masur),KG,53.31
2007-02-15,Sylhet,Rice (coarse),KG,19.0
2007-02-15,Sylhet,Lentils (masur),KG,54.0
2007-03-15,Barisal,Rice (coarse),KG,20.0
2007-03-15,Barisal,Wheat flour,KG,26.0
2007-03-15,Barisal,Lentils (masur),KG,50.0
2007-03-15,Chittagong,Rice (coarse),KG,19.0
2007-03-15,Chittagong,Wheat flour,KG,26.67
2007-03-15,Chittagong,Lentils (masur),KG,51.0
2007-03-15,Dhaka,Wheat flour,KG,26.43
2007-03-15,Dhaka,Lentils (masur),KG,53.75
2007-03-15,Khulna,Lentils (masur),KG,50.0
2007-03-15,Rajshahi,Rice (coarse),KG,19.27
2007-03-15,Rajshahi,Wheat flour,KG,25.57
2007-03-15,Rajshahi,Lentils (masur),KG,52.93
2007-03-15,Sylhet,Wheat flour,KG,27.0
2007-03-15,Sylhet,Lentils (masur),KG,54.0
2007-04-15,Barisal,Rice (coarse),KG,21.0
2007-04-15,Barisal,Wheat flour,KG,26.0
2007-04-15,Barisal,Lentils (masur),KG,50.0
2007-04-15,Chittagong,Rice (coarse),KG,20.5
2007-04-15,Chittagong,Wheat flour,KG,27.0
2007-04-15,Chittagong,Lentils (masur),KG,57.0
2007-04-15,Dhaka,Rice (coarse),KG,20.33
2007-04-15,Dhaka,Wheat flour,KG,26.25
2007-04-15,Dhaka,Lentils (masur),KG,54.5
2007-04-15,Khulna,Rice (coarse),KG,32.17
2007-04-15,Khulna,Wheat flour,KG,25.5
2007-04-15,Khulna,Lentils (masur),KG,50.83
2007-04-15,Rajshahi,Wheat flour,KG,25.64
2007-04-15,Rajshahi,Lentils (masur),KG,51.1
2007-04-15,Sylhet,Rice (coarse),KG,22.0
2007-04-15,Sylhet,Wheat flour,KG,27.0
2007-04-15,Sylhet,Oil (palm),L,57.0
2007-05-15,Barisal,Rice (coarse),KG,20.0
2007-05-15,Barisal,Wheat flour,KG,26.5
2007-05-15,Chittagong,Wheat flour,KG,27.0
2007-05-15,Dhaka,Rice (coarse),KG,19.33
2007-05-15,Dhaka,Oil (palm),L,66.33
2007-05-15,Dhaka,Lentils (masur),KG,55.8
2007-05-15,Khulna,Wheat flour,KG,25.83
2007-05-15,Khulna,Oil (palm),L,66.0
2007-05-15,Rajshahi,Rice (coarse),KG,18.91
2007-05-15,Rajshahi,Wheat flour,KG,25.46
2007-05-15,Rajshahi,Oil (palm),L,60.5
2007-05-15,Rajshahi,Lentils (masur),KG,53.0
2007-05-15,Sylhet,Rice (coarse),KG,21.0
2007-05-15,Sylhet,Wheat flour,KG,27.0
2007-06-15,Barisal,Rice (coarse),KG,21.0
2007-06-15,Barisal,Wheat flour,KG,26.5
2007-06-15,Barisal,Oil (palm),L,64.0
2007-06-15,Barisal,Lentils (masur),KG,57.0
2007-06-15,Chittagong,Wheat flour,KG,27.0
2007-06-15,Chittagong,Lentils (masur),KG,57.0
2007-06-15,Dhaka,Rice (coarse),KG,19.0
2007-06-15,Dhaka,Wheat flour,KG,26.22
2007-06-15,Dhaka,Oil (palm),L,69.0
2007-06-15,Dhaka,Lentils (masur),KG,56.4
2007-06-15,Khulna,Rice (coarse),KG,41.22
2007-06-15,Khulna,Wheat flour,KG,25.8
2007-06-15,Khulna,Oil (palm),L,68.0
2007-06-15,Rajshahi,Rice (coarse),KG,18.58
2007-06-15,Rajshahi,Oil (palm),L,66.67
2007-06-15,Rajshahi,Lentils (masur),KG,55.73
2007-06-15,Sylhet,Rice (coarse),KG,21.0
2007-07-15,Barisal,Wheat flour,KG,27.5
2007-07-15,Barisal,Lentils (masur),KG,58.0
2007-07-15,Chittagong,Wheat flour,KG,28.0
2007-07-15,Chittagong,Oil (palm),L,66.0
2007-07-15,Chittagong,Lentils (masur),KG,57.0
2007-07-15,Dhaka,Rice (coarse),KG,19.0
2007-07-15,Dhaka,Wheat flour,KG,27.33
2007-07-15,Khulna,Wheat flour,KG,27.2
2007-07-15,Khulna,Oil (palm),L,68.0
2007-07-15,Rajshahi,Rice (coarse),KG,19.54
2007-07-15,Rajshahi,Wheat flour,KG,28.0
2007-07-15,Rajshahi,Oil (palm),L,68.4
2007-07-15,Rajshahi,Lentils (masur),KG,56.7
2007-08-15,Barisal,Wheat flour,KG,29.5
2007-08-15,Barisal,Lentils (masur),KG,59.0
2007-08-15,Chittagong,Oil (palm),L,68.0
2007-08-15,Chittagong,Lentils (masur),KG,63.5
2007-08-15,Dhaka,Rice (coarse),KG,21.2
2007-08-15,Dhaka,Wheat flour,KG,30.38
2007-08-15,Dhaka,Oil (palm),L,70.0
2007-08-15,Dhaka,Lentils (masur),KG,61.0
2007-08-15,Khulna,Wheat flour,KG,30.67
2007-08-15,Khulna,Oil (palm),L,72.0
2007-08-15,Khulna,Lentils (masur),KG,59.67
2007-08-15,Rajshahi,Wheat flour,KG,31.0
2007-08-15,Rajshahi,Oil (palm),L,71.17
2007-08-15,Rajshahi,Lentils (masur),KG,59.73
2007-08-15,Sylhet,Rice (coarse),KG,22.5
2007-08-15,Sylhet,Wheat flour,KG,32.0
2007-08-15,Sylhet,Lentils (masur),KG,60.0
2007-09-15,Barisal,Wheat flour,KG,30.5
2007-09-15,Chittagong,Wheat flour,KG,32.0
2007-09-15,Chittagong,Oil (palm),L,70.25
2007-09-15,Dhaka,Rice (coarse),KG,21.83
2007-09-15,Dhaka,Wheat flour,KG,31.56
2007-09-15,Dhaka,Lentils (masur),KG,62.0
2007-09-15,Khulna,Wheat flour,KG,31.8
2007-09-15,Khulna,Oil (palm),L,72.0
2007-09-15,Khulna,Lentils (masur),KG,61.2
2007-09-15,Rajshahi,Wheat flour,KG,31.79
2007-09-15,Rajshahi,Lentils (masur),KG,59.83
2007-09-15,Sylhet,Rice (coarse),KG,23.5
2007-09-15,Sylhet,Wheat flour,KG,32.5
2007-10-15,Barisal,Rice (coarse),KG,22.0
2007-10-15,Barisal,Wheat flour,KG,31.5
2007-10-15,Barisal,Oil (palm),L,68.0
2007-10-15,Barisal,Lentils (masur),KG,61.5
2007-10-15,Chittagong,Rice (coarse),KG,22.67
2007-10-15,Chittagong,Wheat flour,KG,33.33
2007-10-15,Chittagong,Lentils (masur),KG,62.33
2007-10-15,Dhaka,Rice (coarse),KG,22.33
2007-10-15,Dhaka,Wheat flour,KG,33.9
2007-10-15,Dhaka,Oil (palm),L,76.6
2007-10-15,Dhaka,Lentils (masur),KG,62.67
2007-10-15,Khulna,Rice (coarse),KG,44.62
2007-10-15,Khulna,Lentils (masur),KG,61.0
2007-10-15,Rajshahi,Rice (coarse),KG,20.86
2007-10-15,Rajshahi,Wheat flour,KG,33.08
2007-10-15,Sylhet,Rice (coarse),KG,24.0
2007-10-15,Sylhet,Wheat flour,KG,33.0
2007-10-15,Sylhet,Lentils (masur),KG,65.0
2007-11-15,Barisal,Wheat flour,KG,38.0
2007-11-15,Chittagong,Wheat flour,KG,37.0
2007-11-15,Chittagong,Lentils (masur),KG,64.0
2007-11-15,Dhaka,Rice (coarse),KG,23.17
2007-11-15,Dhaka,Wheat flour,KG,37.7
2007-11-15,Dhaka,Oil (palm),L,78.8
2007-11-15,Dhaka,Lentils (masur),KG,64.67
2007-11-15,Khulna,Rice (coarse),KG,42.33
2007-11-15,Khulna,Wheat flour,KG,37.75
2007-11-15,Rajshahi,Wheat flour,KG,37.23
2007-11-15,Rajshahi,Lentils (masur),KG,59.64
2007-11-15,Sylhet,Rice (coarse),KG,25.0
2007-11-15,Sylhet,Wheat flour,KG,38.5
2007-11-15,Sylhet,Lentils (masur),KG,65.0
2007-12-15,Barisal,Rice (coarse),KG,26.5
2007-12-15,Barisal,Wheat flour,KG,35.5
2007-12-15,Chittagong,Rice (coarse),KG,25.67
2007-12-15,Chittagong,Wheat flour,KG,37.67
2007-12-15,Chittagong,Lentils (masur),KG,63.67
2007-12-15,Dhaka,Rice (coarse),KG,24.75
2007-12-15,Dhaka,Wheat flour,KG,37.67
2007-12-15,Dhaka,Oil (palm),L,77.8
2007-12-15,Dhaka,Lentils (masur),KG,64.33
2007-12-15,Khulna,Lentils (masur),KG,61.0
2007-12-15,Rajshahi,Wheat flour,KG,37.57
2007-12-15,Rajshahi,Oil (palm),L,78.12
2007-12-15,Rajshahi,Lentils (masur),KG,60.5
2007-12-15,Sylhet,Wheat flour,KG,39.0
2007-12-15,Sylhet,Lentils (masur),KG,65.0
2008-01-15,Barisal,Rice (coarse),KG,31.0
2008-01-15,Barisal,Wheat flour,KG,39.0
2008-01-15,Barisal,Lentils (masur),KG,64.0
2008-01-15,Chittagong,Rice (coarse),KG,28.67
2008-01-15,Chittagong,Wheat flour,KG,40.75
2008-01-15,Chittagong,Oil (palm),L,79.0
2008-01-15,Chittagong,Lentils (masur),KG,66.0
2008-01-15,Dhaka,Wheat flour,KG,39.5
2008-01-15,Dhaka,Rice (coarse),KG,29.14
2008-01-15,Dhaka,Wheat flour,KG,40.0
2008-01-15,Dhaka,Oil (palm),L,81.8
2008-01-15,Dhaka,Lentils (masur),KG,65.5
2008-01-15,Khulna,Oil (palm),L,79.0
2008-01-15,Rajshahi,Rice (coarse),KG,27.55
2008-01-15,Rajshahi,Wheat flour,KG,39.08
2008-01-15,Rajshahi,Oil (palm),L,79.44
2008-01-15,Rajshahi,Lentils (masur),KG,60.92
2008-01-15,Sylhet,Rice (coarse),KG,30.0
2008-01-15,Sylhet,Wheat flour,KG,40.5
2008-02-15,Barisal,Rice (coarse),KG,29.0
2008-02-15,Barisal,Wheat flour,KG,40.0
2008-02-15,Barisal,Lentils (masur),KG,67.0
2008-02-15,Chittagong,Rice (coarse),KG,28.0
2008-02-15,Chittagong,Wheat flour,KG,42.33
2008-02-15,Chittagong,Oil (palm),L,81.5
2008-02-15,Dhaka,Rice (coarse),KG,29.57
2008-02-15,Dhaka,Wheat flour,KG,42.0
2008-02-15,Dhaka,Lentils (masur),KG,66.4
2008-02-15,Khulna,Rice (coarse),KG,28.5
2008-02-15,Khulna,Oil (palm),L,87.0
2008-02-15,Khulna,Lentils (masur),KG,62.33
2008-02-15,Rajshahi,Rice (coarse),KG,27.82
2008-02-15,Rajshahi,Wheat flour,KG,40.31
2008-02-15,Rajshahi,Oil (palm),L,89.38
2008-02-15,Rajshahi,Lentils (masur),KG,61.42
2008-02-15,Sylhet,Wheat flour,KG,42.67
2008-02-15,Sylhet,Lentils (masur),KG,71.0
2008-03-15,Barisal,Wheat flour,KG,45.0
2008-03-15,Barisal,Lentils (masur),KG,71.0
2008-03-15,Chittagong,Wheat flour,KG,44.0
2008-03-15,Chittagong,Oil (palm),L,98.5
2008-03-15,Chittagong,Lentils (masur),KG,73.0
2008-03-15,Dhaka,Wheat flour,KG,42.25
2008-03-15,Dhaka,Rice (coarse),KG,31.33
2008-03-15,Dhaka,Oil (palm),L,95.0
2008-03-15,Khulna,Wheat flour,KG,43.25
2008-03-15,Khulna,Oil (palm),L,96.0
2008-03-15,Khulna,Lentils (masur),KG,72.0
2008-03-15,Rajshahi,Wheat flour,KG,42.54
2008-03-15,Rajshahi,Oil (palm),L,94.67
2008-03-15,Sylhet,Wheat flour,KG,44.67
2008-03-15,Sylhet,Lentils (masur),KG,75.0
2008-04-15,Barisal,Rice (coarse),KG,32.0
2008-04-15,Barisal,Wheat flour,KG,45.0
2008-04-15,Barisal,Lentils (masur),KG,77.0
2008-04-15,Chittagong,Wheat flour,KG,44.5
2008-04-15,Chittagong,Oil (palm),L,92.0
2008-04-15,Chittagong,Lentils (masur),KG,71.0
2008-04-15,Dhaka,Rice (coarse),KG,33.8
2008-04-15,Dhaka,Wheat flour,KG,44.0
2008-04-15,Dhaka,Oil (palm),L,92.75
2008-04-15,Khulna,Wheat flour,KG,43.5
2008-04-15,Khulna,Oil (palm),L,92.0
2008-04-15,Khulna,Lentils (masur),KG,75.25
2008-04-15,Rajshahi,Oil (palm),L,92.88
2008-04-15,Sylhet,Wheat flour,KG,44.0
2008-04-15,Sylhet,Lentils (masur),KG,82.0
2008-05-15,Barisal,Wheat flour,KG,43.0
2008-05-15,Barisal,Lentils (masur),KG,81.0
2008-05-15,Chittagong,Rice (coarse),KG,27.0
2008-05-15,Chittagong,Wheat flour,KG,44.0
2008-05-15,Dhaka,Rice (coarse),KG,29.29
2008-05-15,Dhaka,Wheat flour,KG,43.0
2008-05-15,Dhaka,Lentils (masur),KG,80.6
2008-05-15,Khulna,Wheat flour,KG,42.2
2008-05-15,Khulna,Oil (palm),L,98.0
2008-05-15,Rajshahi,Rice (coarse),KG,29.4
2008-05-15,Rajshahi,Wheat flour,KG,42.0
2008-05-15,Rajshahi,Lentils (masur),KG,73.73
2008-05-15,Sylhet,Rice (coarse),KG,32.0
2008-05-15,Sylhet,Lentils (masur),KG,82.0
2008-06-15,Barisal,Wheat flour,KG,41.0
2008-06-15,Chittagong,Rice (coarse),KG,29.0
2008-06-15,Chittagong,Wheat flour,KG,43.0
2008-06-15,Dhaka,Rice (coarse),KG,30.12
2008-06-15,Dhaka,Oil (palm),L,99.5
2008-06-15,Dhaka,Lentils (masur),KG,81.5
2008-06-15,Khulna,Rice (coarse),KG,30.4
2008-06-15,Khulna,Wheat flour,KG,42.4
2008-06-15,Khulna,Oil (palm),L,98.0
2008-06-15,Khulna,Lentils (masur),KG,77.0
2008-06-15,Rajshahi,Rice (coarse),KG,30.07
2008-06-15,Rajshahi,Wheat flour,KG,41.07
2008-06-15,Sylhet,Rice (coarse),KG,33.0
2008-06-15,Sylhet,Wheat flour,KG,41.0
2008-06-15,Sylhet,Lentils (masur),KG,82.0
2008-07-15,Barisal,Wheat flour,KG,41.0
2008-07-15,Chittagong,Oil (palm),L,104.0
2008-07-15,Chittagong,Lentils (masur),KG,90.0
2008-07-15,Dhaka,Wheat flour,KG,37.5
2008-07-15,Dhaka,Wheat flour,KG,41.0
2008-07-15,Dhaka,Oil (palm),L,100.6
2008-07-15,Dhaka,Lentils (masur),KG,88.25
2008-07-15,Khulna,Rice (coarse),KG,33.0
2008-07-15,Khulna,Wheat flour,KG,41.6
2008-07-15,Rajshahi,Rice (coarse),KG,31.87
2008-07-15,Rajshahi,Oil (palm),L,100.29
2008-07-15,Rajshahi,Lentils (masur),KG,87.27
2008-07-15,Sylhet,Wheat flour,KG,40.33
2008-07-15,Sylhet,Lentils (masur),KG,90.0
2008-08-15,Barisal,Rice (coarse),KG,34.5
2008-08-15,Barisal,Wheat flour,KG,40.0
2008-08-15,Chittagong,Rice (coarse),KG,33.5
2008-08-15,Chittagong,Wheat flour,KG,41.5
2008-08-15,Chittagong,Lentils (masur),KG,93.0
2008-08-15,Dhaka,Wheat flour,KG,37.32
2008-08-15,Dhaka,Rice (coarse),KG,33.67
2008-08-15,Dhaka,Wheat flour,KG,40.0
2008-08-15,Dhaka,Oil (palm),L,91.83
2008-08-15,Khulna,Wheat flour,KG,40.8
2008-08-15,Khulna,Oil (palm),L,90.67
2008-08-15,Rajshahi,Wheat flour,KG,40.2
2008-08-15,Rajshahi,Oil (palm),L,91.62
2008-08-15,Rajshahi,Lentils (masur),KG,90.73
2008-08-15,Sylhet,Rice (coarse),KG,33.0
2008-08-15,Sylhet,Wheat flour,KG,40.67
2008-08-15,Sylhet,Lentils (masur),KG,92.0
2008-09-15,Barisal,Rice (coarse),KG,32.5
2008-09-15,Barisal,Wheat flour,KG,40.5
2008-09-15,Chittagong,Rice (coarse),KG,33.0
2008-09-15,Chittagong,Wheat flour,KG,40.25
2008-09-15,Chittagong,Oil (palm),L,73.0
2008-09-15,Chittagong,Lentils (masur),KG,88.33
2008-09-15,Dhaka,Wheat flour,KG,35.45
2008-09-15,Dhaka,Rice (coarse),KG,31.3
2008-09-15,Dhaka,Wheat flour,KG,39.0
2008-09-15,Khulna,Wheat flour,KG,40.0
2008-09-15,Khulna,Lentils (masur),KG,87.17
2008-09-15,Rajshahi,Wheat flour,KG,39.25
2008-09-15,Rajshahi,Oil (palm),L,75.44
2008-09-15,Rajshahi,Lentils (masur),KG,89.27
2008-09-15,Sylhet,Rice (coarse),KG,31.0
2008-09-15,Sylhet,Oil (palm),L,88.0
2008-10-15,Barisal,Wheat flour,KG,40.5
2008-10-15,Barisal,Lentils (masur),KG,87.5
2008-10-15,Chittagong,Rice (coarse),KG,31.67
2008-10-15,Chittagong,Wheat flour,KG,39.25
2008-10-15,Chittagong,Oil (palm),L,65.0
2008-10-15,Chittagong,Lentils (masur),KG,86.0
2008-10-15,Dhaka,Rice (coarse),KG,31.0
2008-10-15,Dhaka,Wheat flour,KG,38.0
2008-10-15,Dhaka,Lentils (masur),KG,88.0
2008-10-15,Khulna,Rice (coarse),KG,30.33
2008-10-15,Khulna,Wheat flour,KG,39.67
2008-10-15,Khulna,Oil (palm),L,64.0
2008-10-15,Khulna,Lentils (masur),KG,87.67
2008-10-15,Rajshahi,Wheat flour,KG,38.86
2008-10-15,Rajshahi,Lentils (masur),KG,89.0
2008-10-15,Sylhet,Wheat flour,KG,39.0
2008-10-15,Sylhet,Oil (palm),L,72.5
2008-11-15,Barisal,Wheat flour,KG,37.5
2008-11-15,Barisal,Lentils (masur),KG,86.5
2008-11-15,Chittagong,Rice (coarse),KG,28.33
2008-11-15,Chittagong,Wheat flour,KG,36.75
2008-11-15,Dhaka,Lentils (masur),KG,85.83
2008-11-15,Khulna,Wheat flour,KG,36.67
2008-11-15,Khulna,Oil (palm),L,68.33
2008-11-15,Khulna,Lentils (masur),KG,87.17
2008-11-15,Rajshahi,Rice (coarse),KG,26.64
2008-11-15,Rajshahi,Wheat flour,KG,36.2
2008-11-15,Rajshahi,Oil (palm),L,68.56
2008-11-15,Rajshahi,Lentils (masur),KG,87.91
2008-11-15,Sylhet,Rice (coarse),KG,28.0
2008-11-15,Sylhet,Wheat flour,KG,36.67
2008-11-15,Sylhet,Oil (palm),L,79.0
2008-12-15,Barisal,Rice (coarse),KG,29.0
2008-12-15,Barisal,Wheat flour,KG,30.5
2008-12-15,Barisal,Lentils (masur),KG,85.0
2008-12-15,Chittagong,Wheat flour,KG,33.25
2008-12-15,Chittagong,Lentils (masur),KG,83.0
2008-12-15,Dhaka,Wheat flour,KG,24.23
2008-12-15,Dhaka,Rice (coarse),KG,27.38
