date,location,commodity,price,rfh
2006-08,Barisal,Lentils (masur),54.0,72.27083333333333
2006-08,Chittagong,Rice (coarse),17.0,109.10156666666668
2006-08,Chittagong,Wheat flour,22.0,109.10156666666668
2006-08,Chittagong,Lentils (masur),47.0,109.10156666666668
2006-08,Dhaka,Rice (coarse),16.67,73.46913333333333
2006-08,Dhaka,Wheat flour,21.4,73.46913333333333
2006-08,Dhaka,Oil (palm),49.0,73.46913333333333
2006-08,Dhaka,Lentils (masur),55.0,73.46913333333333
2006-08,Khulna,Rice (coarse),16.0,106.032
2006-08,Rajshahi,Rice (coarse),16.73,55.76076666666666
2006-08,Rajshahi,Wheat flour,20.36,55.76076666666666
2006-08,Rajshahi,Oil (palm),47.0,55.76076666666666
2006-09,Barisal,Rice (coarse),17.0,139.3708333333333
2006-09,Barisal,Lentils (masur),54.0,139.3708333333333
2006-09,Chittagong,Wheat flour,21.5,158.468
2006-09,Chittagong,Oil (palm),47.0,158.468
2006-09,Chittagong,Lentils (masur),48.0,158.468
2006-09,Dhaka,Wheat flour,21.6,124.2469
2006-09,Dhaka,Oil (palm),47.0,124.2469
2006-09,Khulna,Rice (coarse),16.0,124.32800000000002
2006-09,Khulna,Wheat flour,22.0,124.32800000000002
2006-09,Khulna,Lentils (masur),58.0,124.32800000000002
2006-09,Rajshahi,Wheat flour,21.17,74.29806666666667
2006-09,Rajshahi,Oil (palm),47.5,74.29806666666667
2006-10,Barisal,Rice (coarse),18.0,19.4375
2006-10,Chittagong,Rice (coarse),17.0,23.222966666666668
2006-10,Chittagong,Wheat flour,21.67,23.222966666666668
2006-10,Dhaka,Wheat flour,22.2,23.549366666666668
2006-10,Dhaka,Oil (palm),45.0,23.549366666666668
2006-10,Khulna,Rice (coarse),17.0,20.170666666666666
2006-10,Khulna,Wheat flour,22.5,20.170666666666666
2006-10,Khulna,Lentils (masur),47.0,20.170666666666666
2006-10,Rajshahi,Wheat flour,21.62,15.9843
2006-10,Rajshahi,Oil (palm),47.0,15.9843
2006-10,Rajshahi,Lentils (masur),52.67,15.9843
2006-11,Chittagong,Rice (coarse),17.5,7.328933333333333
2006-11,Chittagong,Wheat flour,23.67,7.328933333333333
2006-11,Chittagong,Lentils (masur),47.0,7.328933333333333
2006-11,Dhaka,Rice (coarse),17.5,4.080266666666667
2006-11,Dhaka,Wheat flour,24.2,4.080266666666667
2006-11,Dhaka,Oil (palm),48.0,4.080266666666667
2006-11,Dhaka,Lentils (masur),54.33,4.080266666666667
2006-11,Khulna,Rice (coarse),17.0,3.1253333333333333
2006-11,Khulna,Wheat flour,24.5,3.1253333333333333
2006-11,Khulna,Lentils (masur),54.0,3.1253333333333333
2006-11,Rajshahi,Rice (coarse),16.92,3.2470666666666665
2006-11,Rajshahi,Wheat flour,23.45,3.2470666666666665
2006-11,Rajshahi,Lentils (masur),52.36,3.2470666666666665
2006-12,Barisal,Rice (coarse),18.0,1.0333333333333332
2006-12,Barisal,Wheat flour,23.0,1.0333333333333332
2006-12,Chittagong,Wheat flour,26.0,2.2693
2006-12,Chittagong,Lentils (masur),53.0,2.2693
2006-12,Dhaka,Wheat flour,26.0,1.0740666666666667
2006-12,Dhaka,Oil (palm),50.0,1.0740666666666667
2006-12,Khulna,Wheat flour,25.5,0.9146666666666666
2006-12,Rajshahi,Rice (coarse),17.1,0.6509666666666667
2006-12,Rajshahi,Wheat flour,24.91,0.6509666666666667
2006-12,Rajshahi,Lentils (masur),53.91,0.6509666666666667
2007-01,Barisal,Rice (coarse),18.0,2.1791666666666667
2007-01,Barisal,Wheat flour,25.5,2.1791666666666667
2007-01,Chittagong,Wheat flour,26.33,1.4702000000000002
2007-01,Chittagong,Lentils (masur),53.0,1.4702000000000002
2007-01,Dhaka,Rice (coarse),17.8,1.3271666666666666
2007-01,Dhaka,Wheat flour,26.0,1.3271666666666666
2007-01,Dhaka,Oil (palm),51.0,1.3271666666666666
2007-01,Dhaka,Lentils (masur),54.67,1.3271666666666666
2007-01,Khulna,Lentils (masur),50.5,1.8613333333333333
2007-01,Rajshahi,Oil (palm),54.0,2.498066666666667
2007-01,Rajshahi,Lentils (masur),53.17,2.498066666666667
2007-01,Sylhet,Rice (coarse),18.0,1.4814999999999998
2007-01,Sylhet,Wheat flour,27.0,1.4814999999999998
2007-02,Barisal,Rice (coarse),19.0,17.270833333333332
2007-02,Barisal,Wheat flour,25.5,17.270833333333332
2007-02,Barisal,Lentils (masur),53.0,17.270833333333332
2007-02,Chittagong,Rice (coarse),18.5,15.313466666666669
2007-02,Chittagong,Wheat flour,26.33,15.313466666666669
2007-02,Chittagong,Lentils (masur),53.0,15.313466666666669
2007-02,Dhaka,Wheat flour,26.2,17.753066666666665
2007-02,Dhaka,Lentils (masur),53.33,17.753066666666665
2007-02,Khulna,Rice (coarse),32.25,17.496
2007-02,Khulna,Wheat flour,25.5,17.496
2007-02,Rajshahi,Rice (coarse),17.73,7.215699999999999
2007-02,Rajshahi,Wheat flour,25.62,7.215699999999999
2007-02,Rajshahi,Lentils (masur),53.31,7.215699999999999
2007-02,Sylhet,Rice (coarse),19.0,44.089933333333335
2007-02,Sylhet,Lentils (masur),54.0,44.089933333333335
2007-03,Barisal,Rice (coarse),20.0,8.154166666666667
2007-03,Barisal,Wheat flour,26.0,8.154166666666667
2007-03,Barisal,Lentils (masur),50.0,8.154166666666667
2007-03,Chittagong,Rice (coarse),19.0,8.860933333333334
2007-03,Chittagong,Wheat flour,26.67,8.860933333333334
2007-03,Chittagong,Lentils (masur),51.0,8.860933333333334
2007-03,Dhaka,Wheat flour,26.43,7.9568
2007-03,Dhaka,Lentils (masur),53.75,7.9568
2007-03,Khulna,Lentils (masur),50.0,5.32
2007-03,Rajshahi,Rice (coarse),19.27,6.454899999999999
2007-03,Rajshahi,Wheat flour,25.57,6.454899999999999
2007-03,Rajshahi,Lentils (masur),52.93,6.454899999999999
2007-03,Sylhet,Wheat flour,27.0,16.166666666666668
2007-03,Sylhet,Lentils (masur),54.0,16.166666666666668
2007-04,Barisal,Rice (coarse),21.0,54.5375
2007-04,Barisal,Wheat flour,26.0,54.5375
2007-04,Barisal,Lentils (masur),50.0,54.5375
2007-04,Chittagong,Rice (coarse),20.5,50.90946666666667
2007-04,Chittagong,Wheat flour,27.0,50.90946666666667
2007-04,Chittagong,Lentils (masur),57.0,50.90946666666667
2007-04,Dhaka,Rice (coarse),20.33,74.71606666666666
2007-04,Dhaka,Wheat flour,26.25,74.71606666666666
2007-04,Dhaka,Lentils (masur),54.5,74.71606666666666
2007-04,Khulna,Rice (coarse),32.17,26.642666666666667
2007-04,Khulna,Wheat flour,25.5,26.642666666666667
2007-04,Khulna,Lentils (masur),50.83,26.642666666666667
2007-04,Rajshahi,Wheat flour,25.64,10.8392
2007-04,Rajshahi,Lentils (masur),51.1,10.8392
2007-04,Sylhet,Rice (coarse),22.0,211.02650000000003
2007-04,Sylhet,Wheat flour,27.0,211.02650000000003
2007-04,Sylhet,Oil (palm),57.0,211.02650000000003
2007-05,Barisal,Rice (coarse),20.0,28.0625
2007-05,Barisal,Wheat flour,26.5,28.0625
2007-05,Chittagong,Wheat flour,27.0,65.01543333333332
2007-05,Dhaka,Rice (coarse),19.33,42.26543333333333
2007-05,Dhaka,Oil (palm),66.33,42.26543333333333
2007-05,Dhaka,Lentils (masur),55.8,42.26543333333333
2007-05,Khulna,Wheat flour,25.83,33.050666666666665
2007-05,Khulna,Oil (palm),66.0,33.050666666666665
2007-05,Rajshahi,Rice (coarse),18.91,34.64313333333333
2007-05,Rajshahi,Wheat flour,25.46,34.64313333333333
2007-05,Rajshahi,Oil (palm),60.5,34.64313333333333
2007-05,Rajshahi,Lentils (masur),53.0,34.64313333333333
2007-05,Sylhet,Rice (coarse),21.0,288.44443333333334
2007-05,Sylhet,Wheat flour,27.0,288.44443333333334
2007-06,Barisal,Rice (coarse),21.0,161.4958333333333
2007-06,Barisal,Wheat flour,26.5,161.4958333333333
2007-06,Barisal,Oil (palm),64.0,161.4958333333333
2007-06,Barisal,Lentils (masur),57.0,161.4958333333333
2007-06,Chittagong,Wheat flour,27.0,238.2516666666667
2007-06,Chittagong,Lentils (masur),57.0,238.2516666666667
2007-06,Dhaka,Rice (coarse),19.0,148.45683333333332
2007-06,Dhaka,Wheat flour,26.22,148.45683333333332
2007-06,Dhaka,Oil (palm),69.0,148.45683333333332
2007-06,Dhaka,Lentils (masur),56.4,148.45683333333332
2007-06,Khulna,Rice (coarse),41.22,127.43200000000002
2007-06,Khulna,Wheat flour,25.8,127.43200000000002
2007-06,Khulna,Oil (palm),68.0,127.43200000000002
2007-06,Rajshahi,Rice (coarse),18.58,89.94510000000001
2007-06,Rajshahi,Oil (palm),66.67,89.94510000000001
2007-06,Rajshahi,Lentils (masur),55.73,89.94510000000001
2007-06,Sylhet,Rice (coarse),21.0,277.2434
2007-07,Barisal,Wheat flour,27.5,271.1416666666667
2007-07,Barisal,Lentils (masur),58.0,271.1416666666667
2007-07,Chittagong,Wheat flour,28.0,314.28476666666666
2007-07,Chittagong,Oil (palm),66.0,314.28476666666666
2007-07,Chittagong,Lentils (masur),57.0,314.28476666666666
2007-07,Dhaka,Rice (coarse),19.0,240.7407333333333
2007-07,Dhaka,Wheat flour,27.33,240.7407333333333
2007-07,Khulna,Wheat flour,27.2,235.4213333333333
2007-07,Khulna,Oil (palm),68.0,235.4213333333333
2007-07,Rajshahi,Rice (coarse),19.54,153.89803333333333
2007-07,Rajshahi,Wheat flour,28.0,153.89803333333333
2007-07,Rajshahi,Oil (palm),68.4,153.89803333333333
2007-07,Rajshahi,Lentils (masur),56.7,153.89803333333333
2007-08,Barisal,Wheat flour,29.5,108.07916666666668
2007-08,Barisal,Lentils (masur),59.0,108.07916666666668
2007-08,Chittagong,Oil (palm),68.0,172.42826666666667
2007-08,Chittagong,Lentils (masur),63.5,172.42826666666667
2007-08,Dhaka,Rice (coarse),21.2,92.90126666666669
2007-08,Dhaka,Wheat flour,30.38,92.90126666666669
2007-08,Dhaka,Oil (palm),70.0,92.90126666666669
2007-08,Dhaka,Lentils (masur),61.0,92.90126666666669
2007-08,Khulna,Wheat flour,30.67,105.21333333333332
2007-08,Khulna,Oil (palm),72.0,105.21333333333332
2007-08,Khulna,Lentils (masur),59.67,105.21333333333332
2007-08,Rajshahi,Wheat flour,31.0,59.31763333333333
2007-08,Rajshahi,Oil (palm),71.17,59.31763333333333
2007-08,Rajshahi,Lentils (masur),59.73,59.31763333333333
2007-08,Sylhet,Rice (coarse),22.5,225.8624333333333
2007-08,Sylhet,Wheat flour,32.0,225.8624333333333
2007-08,Sylhet,Lentils (masur),60.0,225.8624333333333
2007-09,Barisal,Wheat flour,30.5,126.89166666666668
2007-09,Chittagong,Wheat flour,32.0,141.30683333333334
2007-09,Chittagong,Oil (palm),70.25,141.30683333333334
2007-09,Dhaka,Rice (coarse),21.83,90.321
2007-09,Dhaka,Wheat flour,31.56,90.321
2007-09,Dhaka,Lentils (masur),62.0,90.321
2007-09,Khulna,Wheat flour,31.8,140.93866666666665
2007-09,Khulna,Oil (palm),72.0,140.93866666666665
2007-09,Khulna,Lentils (masur),61.2,140.93866666666665
2007-09,Rajshahi,Wheat flour,31.79,90.15683333333334
2007-09,Rajshahi,Lentils (masur),59.83,90.15683333333334
2007-09,Sylhet,Rice (coarse),23.5,209.08203333333333
2007-09,Sylhet,Wheat flour,32.5,209.08203333333333
2007-10,Barisal,Rice (coarse),22.0,100.77916666666664
2007-10,Barisal,Wheat flour,31.5,100.77916666666664
2007-10,Barisal,Oil (palm),68.0,100.77916666666664
2007-10,Barisal,Lentils (masur),61.5,100.77916666666664
2007-10,Chittagong,Rice (coarse),22.67,151.1523
2007-10,Chittagong,Wheat flour,33.33,151.1523
2007-10,Chittagong,Lentils (masur),62.33,151.1523
2007-10,Dhaka,Rice (coarse),22.33,91.85803333333332
2007-10,Dhaka,Wheat flour,33.9,91.85803333333332
2007-10,Dhaka,Oil (palm),76.6,91.85803333333332
2007-10,Dhaka,Lentils (masur),62.67,91.85803333333332
2007-10,Khulna,Rice (coarse),44.62,73.34666666666668
2007-10,Khulna,Lentils (masur),61.0,73.34666666666668
2007-10,Rajshahi,Rice (coarse),20.86,51.60393333333334
2007-10,Rajshahi,Wheat flour,33.08,51.60393333333334
2007-10,Sylhet,Rice (coarse),24.0,104.08993333333336
2007-10,Sylhet,Wheat flour,33.0,104.08993333333336
2007-10,Sylhet,Lentils (masur),65.0,104.08993333333336
2007-11,Barisal,Wheat flour,38.0,25.72083333333333
2007-11,Chittagong,Wheat flour,37.0,31.1148
2007-11,Chittagong,Lentils (masur),64.0,31.1148
2007-11,Dhaka,Rice (coarse),23.17,18.5679
2007-11,Dhaka,Wheat flour,37.7,18.5679
2007-11,Dhaka,Oil (palm),78.8,18.5679
2007-11,Dhaka,Lentils (masur),64.67,18.5679
2007-11,Khulna,Rice (coarse),42.33,15.010666666666664
2007-11,Khulna,Wheat flour,37.75,15.010666666666664
2007-11,Rajshahi,Wheat flour,37.23,4.298033333333334
2007-11,Rajshahi,Lentils (masur),59.64,4.298033333333334
2007-11,Sylhet,Rice (coarse),25.0,16.841266666666666
2007-11,Sylhet,Wheat flour,38.5,16.841266666666666
2007-11,Sylhet,Lentils (masur),65.0,16.841266666666666
2007-12,Barisal,Rice (coarse),26.5,2.625
2007-12,Barisal,Wheat flour,35.5,2.625
2007-12,Chittagong,Rice (coarse),25.67,2.3311333333333333
2007-12,Chittagong,Wheat flour,37.67,2.3311333333333333
2007-12,Chittagong,Lentils (masur),63.67,2.3311333333333333
2007-12,Dhaka,Rice (coarse),24.75,1.5555666666666668
2007-12,Dhaka,Wheat flour,37.67,1.5555666666666668
2007-12,Dhaka,Oil (palm),77.8,1.5555666666666668
2007-12,Dhaka,Lentils (masur),64.33,1.5555666666666668
2007-12,Khulna,Lentils (masur),61.0,1.7466666666666668
2007-12,Rajshahi,Wheat flour,37.57,0.6196333333333334
2007-12,Rajshahi,Oil (palm),78.12,0.6196333333333334
2007-12,Rajshahi,Lentils (masur),60.5,0.6196333333333334
2007-12,Sylhet,Wheat flour,39.0,1.7857333333333332
2007-12,Sylhet,Lentils (masur),65.0,1.7857333333333332
2008-01,Barisal,Rice (coarse),31.0,4.145833333333333
2008-01,Barisal,Wheat flour,39.0,4.145833333333333
2008-01,Barisal,Lentils (masur),64.0,4.145833333333333
2008-01,Chittagong,Rice (coarse),28.67,2.931533333333333
2008-01,Chittagong,Wheat flour,40.75,2.931533333333333
2008-01,Chittagong,Oil (palm),79.0,2.931533333333333
2008-01,Chittagong,Lentils (masur),66.0,2.931533333333333
2008-01,Dhaka,Wheat flour,39.5,4.2037
2008-01,Dhaka,Rice (coarse),29.14,4.2037
2008-01,Dhaka,Wheat flour,40.0,4.2037
2008-01,Dhaka,Oil (palm),81.8,4.2037
2008-01,Dhaka,Lentils (masur),65.5,4.2037
2008-01,Khulna,Oil (palm),79.0,4.794666666666667
2008-01,Rajshahi,Rice (coarse),27.55,11.9137
2008-01,Rajshahi,Wheat flour,39.08,11.9137
2008-01,Rajshahi,Oil (palm),79.44,11.9137
2008-01,Rajshahi,Lentils (masur),60.92,11.9137
2008-01,Sylhet,Rice (coarse),30.0,8.5238
2008-01,Sylhet,Wheat flour,40.5,8.5238
2008-02,Barisal,Rice (coarse),29.0,4.016666666666667
2008-02,Barisal,Wheat flour,40.0,4.016666666666667
2008-02,Barisal,Lentils (masur),67.0,4.016666666666667
2008-02,Chittagong,Rice (coarse),28.0,2.9382
2008-02,Chittagong,Wheat flour,42.33,2.9382
2008-02,Chittagong,Oil (palm),81.5,2.9382
2008-02,Dhaka,Rice (coarse),29.57,4.154333333333334
2008-02,Dhaka,Wheat flour,42.0,4.154333333333334
2008-02,Dhaka,Lentils (masur),66.4,4.154333333333334
2008-02,Khulna,Rice (coarse),28.5,4.997333333333334
2008-02,Khulna,Oil (palm),87.0,4.997333333333334
2008-02,Khulna,Lentils (masur),62.33,4.997333333333334
2008-02,Rajshahi,Rice (coarse),27.82,1.8941333333333332
2008-02,Rajshahi,Wheat flour,40.31,1.8941333333333332
2008-02,Rajshahi,Oil (palm),89.38,1.8941333333333332
2008-02,Rajshahi,Lentils (masur),61.42,1.8941333333333332
2008-02,Sylhet,Wheat flour,42.67,8.1614
2008-02,Sylhet,Lentils (masur),71.0,8.1614
2008-03,Barisal,Wheat flour,45.0,7.745833333333334
2008-03,Barisal,Lentils (masur),71.0,7.745833333333334
2008-03,Chittagong,Wheat flour,44.0,6.598233333333333
2008-03,Chittagong,Oil (palm),98.5,6.598233333333333
2008-03,Chittagong,Lentils (masur),73.0,6.598233333333333
2008-03,Dhaka,Wheat flour,42.25,13.759266666666669
2008-03,Dhaka,Rice (coarse),31.33,13.759266666666669
2008-03,Dhaka,Oil (palm),95.0,13.759266666666669
2008-03,Khulna,Wheat flour,43.25,5.797333333333333
2008-03,Khulna,Oil (palm),96.0,5.797333333333333
2008-03,Khulna,Lentils (masur),72.0,5.797333333333333
2008-03,Rajshahi,Wheat flour,42.54,6.356833333333333
2008-03,Rajshahi,Oil (palm),94.67,6.356833333333333
2008-03,Sylhet,Wheat flour,44.67,65.7275
2008-03,Sylhet,Lentils (masur),75.0,65.7275
2008-04,Barisal,Rice (coarse),32.0,9.6125
2008-04,Barisal,Wheat flour,45.0,9.6125
2008-04,Barisal,Lentils (masur),77.0,9.6125
2008-04,Chittagong,Wheat flour,44.5,6.869766666666667
2008-04,Chittagong,Oil (palm),92.0,6.869766666666667
2008-04,Chittagong,Lentils (masur),71.0,6.869766666666667
2008-04,Dhaka,Rice (coarse),33.8,20.37653333333333
2008-04,Dhaka,Wheat flour,44.0,20.37653333333333
2008-04,Dhaka,Oil (palm),92.75,20.37653333333333
2008-04,Khulna,Wheat flour,43.5,20.79733333333333
2008-04,Khulna,Oil (palm),92.0,20.79733333333333
2008-04,Khulna,Lentils (masur),75.25,20.79733333333333
2008-04,Rajshahi,Oil (palm),92.88,11.152933333333332
2008-04,Sylhet,Wheat flour,44.0,63.19843333333333
2008-04,Sylhet,Lentils (masur),82.0,63.19843333333333
2008-05,Barisal,Wheat flour,43.0,65.24583333333334
2008-05,Barisal,Lentils (masur),81.0,65.24583333333334
2008-05,Chittagong,Rice (coarse),27.0,72.78146666666667
2008-05,Chittagong,Wheat flour,44.0,72.78146666666667
2008-05,Dhaka,Rice (coarse),29.29,79.7222
2008-05,Dhaka,Wheat flour,43.0,79.7222
2008-05,Dhaka,Lentils (masur),80.6,79.7222
2008-05,Khulna,Wheat flour,42.2,39.88
2008-05,Khulna,Oil (palm),98.0,39.88
2008-05,Rajshahi,Rice (coarse),29.4,44.72943333333333
2008-05,Rajshahi,Wheat flour,42.0,44.72943333333333
2008-05,Rajshahi,Lentils (masur),73.73,44.72943333333333
2008-05,Sylhet,Rice (coarse),32.0,160.5873
2008-05,Sylhet,Lentils (masur),82.0,160.5873
2008-06,Barisal,Wheat flour,41.0,134.22916666666666
2008-06,Chittagong,Rice (coarse),29.0,144.96246666666664
2008-06,Chittagong,Wheat flour,43.0,144.96246666666664
2008-06,Dhaka,Rice (coarse),30.12,91.92593333333332
2008-06,Dhaka,Oil (palm),99.5,91.92593333333332
2008-06,Dhaka,Lentils (masur),81.5,91.92593333333332
2008-06,Khulna,Rice (coarse),30.4,133.78666666666666
2008-06,Khulna,Wheat flour,42.4,133.78666666666666
2008-06,Khulna,Oil (palm),98.0,133.78666666666666
2008-06,Khulna,Lentils (masur),77.0,133.78666666666666
2008-06,Rajshahi,Rice (coarse),30.07,93.42743333333333
2008-06,Rajshahi,Wheat flour,41.07,93.42743333333333
2008-06,Sylhet,Rice (coarse),33.0,174.95766666666668
2008-06,Sylhet,Wheat flour,41.0,174.95766666666668
2008-06,Sylhet,Lentils (masur),82.0,174.95766666666668
2008-07,Barisal,Wheat flour,41.0,174.23333333333335
2008-07,Chittagong,Oil (palm),104.0,251.63796666666667
2008-07,Chittagong,Lentils (masur),90.0,251.63796666666667
2008-07,Dhaka,Wheat flour,37.5,130.0926
2008-07,Dhaka,Wheat flour,41.0,130.0926
2008-07,Dhaka,Oil (palm),100.6,130.0926
2008-07,Dhaka,Lentils (masur),88.25,130.0926
2008-07,Khulna,Rice (coarse),33.0,138.65066666666667
2008-07,Khulna,Wheat flour,41.6,138.65066666666667
2008-07,Rajshahi,Rice (coarse),31.87,124.89803333333332
2008-07,Rajshahi,Oil (palm),100.29,124.89803333333332
2008-07,Rajshahi,Lentils (masur),87.27,124.89803333333332
2008-07,Sylhet,Wheat flour,40.33,241.6190333333333
2008-07,Sylhet,Lentils (masur),90.0,241.6190333333333
2008-08,Barisal,Rice (coarse),34.5,104.45833333333331
2008-08,Barisal,Wheat flour,40.0,104.45833333333331
2008-08,Chittagong,Rice (coarse),33.5,183.2494333333333
2008-08,Chittagong,Wheat flour,41.5,183.2494333333333
2008-08,Chittagong,Lentils (masur),93.0,183.2494333333333
2008-08,Dhaka,Wheat flour,37.32,89.07406666666667
2008-08,Dhaka,Rice (coarse),33.67,89.07406666666667
2008-08,Dhaka,Wheat flour,40.0,89.07406666666667
2008-08,Dhaka,Oil (palm),91.83,89.07406666666667
2008-08,Khulna,Wheat flour,40.8,96.05066666666666
2008-08,Khulna,Oil (palm),90.67,96.05066666666666
2008-08,Rajshahi,Wheat flour,40.2,88.00783333333334
2008-08,Rajshahi,Oil (palm),91.62,88.00783333333334
2008-08,Rajshahi,Lentils (masur),90.73,88.00783333333334
2008-08,Sylhet,Rice (coarse),33.0,265.2407666666667
2008-08,Sylhet,Wheat flour,40.67,265.2407666666667
2008-08,Sylhet,Lentils (masur),92.0,265.2407666666667
2008-09,Barisal,Rice (coarse),32.5,92.97083333333336
2008-09,Barisal,Wheat flour,40.5,92.97083333333336
2008-09,Chittagong,Rice (coarse),33.0,91.84326666666668
2008-09,Chittagong,Wheat flour,40.25,91.84326666666668
2008-09,Chittagong,Oil (palm),73.0,91.84326666666668
2008-09,Chittagong,Lentils (masur),88.33,91.84326666666668
2008-09,Dhaka,Wheat flour,35.45,84.29013333333333
2008-09,Dhaka,Rice (coarse),31.3,84.29013333333333
2008-09,Dhaka,Wheat flour,39.0,84.29013333333333
2008-09,Khulna,Wheat flour,40.0,81.53333333333333
